file,rows,columns_count,columns,dtypes,preview_csv
data\raw\elections-europeennes-2009.parquet,850,42,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | jean_michel_dubois | farid_ghehioueche | jean_marie_julia | gaspard_delanoe | rolande_perlican | sabine_herold | patrick_cosseron_de_villenoisy | alain_mourguy | jean_marc_governatori | elisabeth_barbay | axel_de_boer | daniel_cohn_bendit | michel_barnier | jean_pierre_enjalbert | omar_slaouti | annick_du_roscoat | jean_pierre_mercier | jean_luc_pasquinet | dieudonne_mbala_mbala | alain_ducq | jerome_riviere | andre_locussol | francoise_castany | patrick_le_hyaric | marianne_ranke_cormier | harlem_desir | marielle_de_sarnez,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | jean_michel_dubois: int64 | farid_ghehioueche: int64 | jean_marie_julia: int64 | gaspard_delanoe: int64 | rolande_perlican: int64 | sabine_herold: int64 | patrick_cosseron_de_villenoisy: int64 | alain_mourguy: int64 | jean_marc_governatori: int64 | elisabeth_barbay: int64 | axel_de_boer: int64 | daniel_cohn_bendit: int64 | michel_barnier: int64 | jean_pierre_enjalbert: int64 | omar_slaouti: int64 | annick_du_roscoat: int64 | jean_pierre_mercier: int64 | jean_luc_pasquinet: int64 | dieudonne_mbala_mbala: int64 | alain_ducq: int64 | jerome_riviere: int64 | andre_locussol: int64 | francoise_castany: int64 | patrick_le_hyaric: int64 | marianne_ranke_cormier: int64 | harlem_desir: int64 | marielle_de_sarnez: int64,data\preview\elections-europeennes-2009_preview.csv
data\raw\elections-europeennes-2014.parquet,870,49,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | vincent_le_scornet | isabelle_bordry | balie_topla | pascal_durand | julien_volganli | farid_gheioueche | alain_lamassoure | helene_feo | christophe_paillard | francis_mbella | marielle_de_sarnez | laure_patas_d_illiers | jean_grimal | dominique_jamet | stephane_guyot | caroline_de_haas | jean_marc_governatori | pervenche_beres | patrick_le_hyaric | antoine_mayerowitz | magali_lepape | francois_asselineau | gaspard_delanoe | nathalie_arthaud | veronique_vermorel | pierre_larrouturou | corinne_lepage | louis_de_gouyon_matignon_de_pon | christine_boutin | aymeric_chauprade | olivier_besancenot | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: float64 | date: object | num_circ: float64 | num_quartier: float64 | num_arrond: float64 | num_bureau: float64 | nb_procu: float64 | nb_inscr: float64 | nb_emarg: float64 | nb_votant: int64 | nb_bl: float64 | nb_nul: float64 | nb_exprim: float64 | vincent_le_scornet: float64 | isabelle_bordry: float64 | balie_topla: float64 | pascal_durand: float64 | julien_volganli: float64 | farid_gheioueche: float64 | alain_lamassoure: float64 | helene_feo: float64 | christophe_paillard: float64 | francis_mbella: float64 | marielle_de_sarnez: float64 | laure_patas_d_illiers: float64 | jean_grimal: float64 | dominique_jamet: float64 | stephane_guyot: float64 | caroline_de_haas: float64 | jean_marc_governatori: float64 | pervenche_beres: float64 | patrick_le_hyaric: float64 | antoine_mayerowitz: float64 | magali_lepape: float64 | francois_asselineau: float64 | gaspard_delanoe: float64 | nathalie_arthaud: float64 | veronique_vermorel: float64 | pierre_larrouturou: float64 | corinne_lepage: float64 | louis_de_gouyon_matignon_de_pon: float64 | christine_boutin: float64 | aymeric_chauprade: float64 | olivier_besancenot: float64 | geo_shape: object | geo_point_2d: object,data\preview\elections-europeennes-2014_preview.csv
data\raw\elections-europeennes-2019.parquet,896,52,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | aubry_manon | de_prevoisin_robert | camus_renaud | marie_florie | loiseau_nathalie | traore_hamada | philippot_florian | alexandre_audric | bourg_dominique | vauclin_vincent | lagarde_jean_christophe | glucksmann_raphael | gernigon_yves | helgen_gilles | dupont_aignan_nicolas | caillaud_sophie | delfel_therese | arthaud_nathalie | brossat_ian | asselineau_francois | hamon_benoit | tomasini_nathalie | bardella_jordan | corbet_cathy_denise_ginette | sanchez_antonio | dieumegard_pierre | chalencon_christophe | lalanne_francis | bellamy_francois_xavier | jadot_yannick | thouy_helene | bidou_olivier | person_christian_luc | azergui_najib | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | aubry_manon: int64 | de_prevoisin_robert: int64 | camus_renaud: int64 | marie_florie: int64 | loiseau_nathalie: int64 | traore_hamada: int64 | philippot_florian: int64 | alexandre_audric: int64 | bourg_dominique: int64 | vauclin_vincent: int64 | lagarde_jean_christophe: int64 | glucksmann_raphael: int64 | gernigon_yves: int64 | helgen_gilles: int64 | dupont_aignan_nicolas: int64 | caillaud_sophie: int64 | delfel_therese: int64 | arthaud_nathalie: int64 | brossat_ian: int64 | asselineau_francois: int64 | hamon_benoit: int64 | tomasini_nathalie: int64 | bardella_jordan: int64 | corbet_cathy_denise_ginette: int64 | sanchez_antonio: int64 | dieumegard_pierre: int64 | chalencon_christophe: int64 | lalanne_francis: int64 | bellamy_francois_xavier: int64 | jadot_yannick: int64 | thouy_helene: int64 | bidou_olivier: int64 | person_christian_luc: int64 | azergui_najib: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-europeennes-2019_preview.csv
data\raw\elections-europeennes-2024.parquet,902,59,objectid | id_bv | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | deher_lesaint_leopold_edouard | ponge_philippe | marechal_marion | aubry_manon | bardella_jordan | toussaint_marie | azergui_nagib | thouy_helene | terrien_olivier | zorn_caroline | hayer_valerie | alexandre_audric | cholley_marine | wehrling_yann | asselineau_francois | simonin_michel | fortane_jean_marc | bellamy_francois_xavier | arthaud_nathalie | larrouturou_pierre | renard_kuzmanovic_georges | labib_selma | adoue_camille | philippot_florian | husson_edouard | bonneau_pierre_marie | glucksmann_raphael | hoareau_charles | lassalle_jean | lalanne_francis | lacroix_guillaume | elmayan_lorys | deffontaines_leon | coste_meunier_gael | governatori_jean_marc | traore_hamada | patas_d_illiers_laure | grude_patrice | st_area_shape | st_perimeter_shape | geo_shape | geo_point_2d,objectid: int64 | id_bv: str | scrutin: str | annee: str | tour: int64 | date: str | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | deher_lesaint_leopold_edouard: int64 | ponge_philippe: int64 | marechal_marion: int64 | aubry_manon: int64 | bardella_jordan: int64 | toussaint_marie: int64 | azergui_nagib: int64 | thouy_helene: int64 | terrien_olivier: int64 | zorn_caroline: int64 | hayer_valerie: int64 | alexandre_audric: int64 | cholley_marine: int64 | wehrling_yann: int64 | asselineau_francois: int64 | simonin_michel: int64 | fortane_jean_marc: int64 | bellamy_francois_xavier: int64 | arthaud_nathalie: int64 | larrouturou_pierre: int64 | renard_kuzmanovic_georges: int64 | labib_selma: int64 | adoue_camille: int64 | philippot_florian: int64 | husson_edouard: int64 | bonneau_pierre_marie: int64 | glucksmann_raphael: int64 | hoareau_charles: int64 | lassalle_jean: int64 | lalanne_francis: int64 | lacroix_guillaume: int64 | elmayan_lorys: int64 | deffontaines_leon: int64 | coste_meunier_gael: int64 | governatori_jean_marc: int64 | traore_hamada: int64 | patas_d_illiers_laure: int64 | grude_patrice: int64 | st_area_shape: float64 | st_perimeter_shape: float64 | geo_shape: object | geo_point_2d: object,data\preview\elections-europeennes-2024_preview.csv
data\raw\elections-legislatives-2025-1ertour.parquet,54,33,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_blanc | nb_nul | nb_exprim | debouzy_louis_1 | barnier_michel_2 | chamayou_christine_9 | de_paris_luca_12 | asadov_vadim_3 | stachtchenko_alexandre_5 | bredin_frederique_13 | yahia_fidaa_4 | pierot_guimbaud_mahel_6 | de_gontaut_biron_arnaud_11 | simonnot_alexandre_7 | bouye_hilaire_8 | markovic_douchka_14 | bekono_patricia_sonia_15 | mariani_thierry_16 | peretti_sebastien_10 | boni_pia_17,id_bvote: str | scrutin: str | annee: str | tour: int64 | date: object | num_circ: str | num_quartier: str | num_arrond: str | num_bureau: str | nb_procu: float64 | nb_inscr: float64 | nb_emarg: float64 | nb_votant: float64 | nb_blanc: float64 | nb_nul: float64 | nb_exprim: float64 | debouzy_louis_1: float64 | barnier_michel_2: float64 | chamayou_christine_9: float64 | de_paris_luca_12: float64 | asadov_vadim_3: float64 | stachtchenko_alexandre_5: float64 | bredin_frederique_13: float64 | yahia_fidaa_4: float64 | pierot_guimbaud_mahel_6: float64 | de_gontaut_biron_arnaud_11: float64 | simonnot_alexandre_7: float64 | bouye_hilaire_8: float64 | markovic_douchka_14: float64 | bekono_patricia_sonia_15: float64 | mariani_thierry_16: float64 | peretti_sebastien_10: float64 | boni_pia_17: float64,data\preview\elections-legislatives-2025-1ertour_preview.csv
data\raw\elections-municipales-2008-1ertour.parquet,7514,16,id_bvote | scrutin | annee | tour | num_arrond | num_bureau | votes | candidate | nom | prenom | nuance | liste | vote_share_exprimes | vote_share_registered | dataset_id | source_bv_id,id_bvote: str | scrutin: str | annee: float64 | tour: float64 | num_arrond: float64 | num_bureau: float64 | votes: float64 | candidate: str | nom: str | prenom: str | nuance: str | liste: str | vote_share_exprimes: float32 | vote_share_registered: float32 | dataset_id: str | source_bv_id: str,data\preview\elections-municipales-2008-1ertour_preview.csv
data\raw\elections-municipales-2008-2emetour.parquet,1408,16,id_bvote | scrutin | annee | tour | num_arrond | num_bureau | votes | candidate | nom | prenom | nuance | liste | vote_share_exprimes | vote_share_registered | dataset_id | source_bv_id,id_bvote: str | scrutin: str | annee: float64 | tour: float64 | num_arrond: float64 | num_bureau: float64 | votes: float64 | candidate: str | nom: str | prenom: str | nuance: str | liste: str | vote_share_exprimes: float32 | vote_share_registered: float32 | dataset_id: str | source_bv_id: str,data\preview\elections-municipales-2008-2emetour_preview.csv
data\raw\elections-municipales-2014-1ertour.parquet,7298,16,id_bvote | scrutin | annee | tour | num_arrond | num_bureau | votes | candidate | nom | prenom | nuance | liste | vote_share_exprimes | vote_share_registered | dataset_id | source_bv_id,id_bvote: str | scrutin: str | annee: float64 | tour: float64 | num_arrond: float64 | num_bureau: float64 | votes: float64 | candidate: str | nom: str | prenom: str | nuance: str | liste: str | vote_share_exprimes: float32 | vote_share_registered: float32 | dataset_id: str | source_bv_id: str,data\preview\elections-municipales-2014-1ertour_preview.csv
data\raw\elections-municipales-2014-2emetour.parquet,1536,16,id_bvote | scrutin | annee | tour | num_arrond | num_bureau | votes | candidate | nom | prenom | nuance | liste | vote_share_exprimes | vote_share_registered | dataset_id | source_bv_id,id_bvote: str | scrutin: str | annee: float64 | tour: float64 | num_arrond: float64 | num_bureau: float64 | votes: float64 | candidate: str | nom: str | prenom: str | nuance: str | liste: str | vote_share_exprimes: float32 | vote_share_registered: float32 | dataset_id: str | source_bv_id: str,data\preview\elections-municipales-2014-2emetour_preview.csv
data\raw\elections-municipales-2020-1ertour.parquet,9561,16,id_bvote | scrutin | annee | tour | num_arrond | num_bureau | votes | candidate | nom | prenom | nuance | liste | vote_share_exprimes | vote_share_registered | dataset_id | source_bv_id,id_bvote: str | scrutin: str | annee: float64 | tour: float64 | num_arrond: float64 | num_bureau: float64 | votes: float64 | candidate: str | nom: str | prenom: str | nuance: str | liste: str | vote_share_exprimes: float32 | vote_share_registered: float32 | dataset_id: str | source_bv_id: str,data\preview\elections-municipales-2020-1ertour_preview.csv
data\raw\elections-municipales-2020-2emetour.parquet,2674,16,id_bvote | scrutin | annee | tour | num_arrond | num_bureau | votes | candidate | nom | prenom | nuance | liste | vote_share_exprimes | vote_share_registered | dataset_id | source_bv_id,id_bvote: str | scrutin: str | annee: float64 | tour: float64 | num_arrond: float64 | num_bureau: float64 | votes: float64 | candidate: str | nom: str | prenom: str | nuance: str | liste: str | vote_share_exprimes: float32 | vote_share_registered: float32 | dataset_id: str | source_bv_id: str,data\preview\elections-municipales-2020-2emetour_preview.csv
data\raw\elections-presidentielles-2007-1ertour.parquet,837,27,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | besancenot_olivier | buffet_marie_george | schivardi_gerard | bayrou_francois | bove_jose | voynet_dominique | de_villiers_philippe | royal_segolene | nihous_frederic | le_pen_jean_marie | laguiller_arlette | sarkozy_nicolas,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | besancenot_olivier: int64 | buffet_marie_george: int64 | schivardi_gerard: int64 | bayrou_francois: int64 | bove_jose: int64 | voynet_dominique: int64 | de_villiers_philippe: int64 | royal_segolene: int64 | nihous_frederic: int64 | le_pen_jean_marie: int64 | laguiller_arlette: int64 | sarkozy_nicolas: int64,data\preview\elections-presidentielles-2007-1ertour_preview.csv
data\raw\elections-presidentielles-2007-2emetour.parquet,837,17,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | sarkozy_nicolas | royal_segolene,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | sarkozy_nicolas: int64 | royal_segolene: int64,data\preview\elections-presidentielles-2007-2emetour_preview.csv
data\raw\elections-presidentielles-2012-1ertour.parquet,869,27,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | eva_joly | marine_le_pen | nicolas_sarkozy | jean_luc_melenchon | philippe_poutou | nathalie_arthaud | jacques_cheminade | francois_bayrou | nicolas_dupont_aignan | francois_hollande | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | eva_joly: int64 | marine_le_pen: int64 | nicolas_sarkozy: int64 | jean_luc_melenchon: int64 | philippe_poutou: int64 | nathalie_arthaud: int64 | jacques_cheminade: int64 | francois_bayrou: int64 | nicolas_dupont_aignan: int64 | francois_hollande: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2012-1ertour_preview.csv
data\raw\elections-presidentielles-2012-2emetour.parquet,869,19,id_bvote | scrutin | annee | tour | num_circ | num_quartier | date | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | francois_hollande | nicolas_sarkozy | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | num_circ: int64 | num_quartier: int64 | date: object | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | francois_hollande: int64 | nicolas_sarkozy: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2012-2emetour_preview.csv
data\raw\elections-presidentielles-2017-1ertour.parquet,896,29,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | dupont_aignan_nicolas | le_pen_marine | macron_emmanuel | hamon_benoit | arthaud_nathalie | poutou_philippe | cheminade_jacques | lassalle_jean | melenchon_jean_luc | asselineau_francois | fillon_francois | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | dupont_aignan_nicolas: int64 | le_pen_marine: int64 | macron_emmanuel: int64 | hamon_benoit: int64 | arthaud_nathalie: int64 | poutou_philippe: int64 | cheminade_jacques: int64 | lassalle_jean: int64 | melenchon_jean_luc: int64 | asselineau_francois: int64 | fillon_francois: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2017-1ertour_preview.csv
data\raw\elections-presidentielles-2017-2emetour.parquet,896,20,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | emmanuel_macron | marine_le_pen | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | emmanuel_macron: int64 | marine_le_pen: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2017-2emetour_preview.csv
data\raw\elections-presidentielles-2022-2emetour.parquet,899,27,id_bvote | type_election | annee | numero_tour | date_tour | circ_bv | quartier_bv | arr_bv | sec_bv | num_bureau | nb_procuration | nb_inscrit | nb_emargement | nb_votant | nb_vote_blanc | nb_vote_nul | nb_exprime | macron_emmanuel | le_pen_marine | geo_shape | geo_point_2d | created_user | created_date | last_edited_user | last_edited_date | st_area_shape | st_perimeter_shape,"id_bvote: str | type_election: str | annee: str | numero_tour: int64 | date_tour: object | circ_bv: str | quartier_bv: str | arr_bv: str | sec_bv: str | num_bureau: int64 | nb_procuration: float64 | nb_inscrit: float64 | nb_emargement: float64 | nb_votant: int64 | nb_vote_blanc: float64 | nb_vote_nul: float64 | nb_exprime: float64 | macron_emmanuel: float64 | le_pen_marine: float64 | geo_shape: object | geo_point_2d: object | created_user: str | created_date: datetime64[ms, UTC] | last_edited_user: str | last_edited_date: datetime64[ms, UTC] | st_area_shape: float64 | st_perimeter_shape: float64",data\preview\elections-presidentielles-2022-2emetour_preview.csv
data\raw\elections-regionales-2010-1ertour.parquet,850,27,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | valerie_pecresse | jean_pierre_mercier | marie_christine_arnautu | cecile_duflot | alain_dolium | jean_marc_governatori | pierre_laurent | axel_de_boer | jean_paul_huchon | nicolas_dupont_aignan | olivier_besancenot | almamy_kanoute,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | valerie_pecresse: int64 | jean_pierre_mercier: int64 | marie_christine_arnautu: int64 | cecile_duflot: int64 | alain_dolium: int64 | jean_marc_governatori: int64 | pierre_laurent: int64 | axel_de_boer: int64 | jean_paul_huchon: int64 | nicolas_dupont_aignan: int64 | olivier_besancenot: int64 | almamy_kanoute: int64,data\preview\elections-regionales-2010-1ertour_preview.csv
data\raw\elections-regionales-2010-2emetour.parquet,850,17,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | valerie_pecresse | jean_paul_huchon,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | valerie_pecresse: int64 | jean_paul_huchon: int64,data\preview\elections-regionales-2010-2emetour_preview.csv
data\raw\elections-regionales-2015-1ertour.parquet,869,31,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | laurent_pierre | bartolone_claude | asselineau_francois | cosse_emmanuelle | horsfall_dawari | sachs_valerie | de_smet_sylvain | bourchada_nizarr | dupont_aignan_nicolas | pecresse_valerie | veron_aurelien | de_saint_just_wallerand | arthaud_nathalie | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | laurent_pierre: int64 | bartolone_claude: int64 | asselineau_francois: int64 | cosse_emmanuelle: int64 | horsfall_dawari: int64 | sachs_valerie: int64 | de_smet_sylvain: int64 | bourchada_nizarr: int64 | dupont_aignan_nicolas: int64 | pecresse_valerie: int64 | veron_aurelien: int64 | de_saint_just_wallerand: int64 | arthaud_nathalie: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2015-1ertour_preview.csv
data\raw\elections-regionales-2015-2emetour.parquet,869,21,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | bartolone_claude | pecresse_valerie | de_saint_just_wallerand | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | bartolone_claude: int64 | pecresse_valerie: int64 | de_saint_just_wallerand: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2015-2emetour_preview.csv
data\raw\elections-regionales-2021-1ertour.parquet,898,29,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | bardella_jordan | berlingen_eric | bayou_julien | pulvar_audrey | pailhac_victor | pecresse_valerie | conti_fabiola | brot_lionel | saint_martin_laurent | arthaud_nathalie | autain_clementine | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | bardella_jordan: float64 | berlingen_eric: int64 | bayou_julien: int64 | pulvar_audrey: int64 | pailhac_victor: int64 | pecresse_valerie: int64 | conti_fabiola: int64 | brot_lionel: int64 | saint_martin_laurent: int64 | arthaud_nathalie: int64 | autain_clementine: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2021-1ertour_preview.csv
data\raw\elections-regionales-2021-2emetour.parquet,898,22,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | bardella_jordan | bayou_julien | pecresse_valerie | saint_martin_laurent | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: float64 | num_arrond: float64 | num_bureau: float64 | nb_procu: float64 | nb_inscr: float64 | nb_emarg: float64 | nb_votant: float64 | nb_bl: float64 | nb_nul: float64 | nb_exprim: float64 | bardella_jordan: float64 | bayou_julien: float64 | pecresse_valerie: float64 | saint_martin_laurent: float64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2021-2emetour_preview.csv
